0.918966	0.918966	0.918966
-0.574032	-0.574032	-0.574032
-1.26402e-06	-1.26402e-06	-1.26402e-06
1.0097	1.0097	1.0097
-0.613453	-0.613453	-0.613453
3.42184e-06	3.42184e-06	3.42184e-06
-0.230377	-0.230377	-0.230377
-8.79038e-07	-8.79038e-07	-8.79038e-07
0.279847	0.279847	0.279847
-0.202992	-0.202992	-0.202992
9.69903e-07	9.69903e-07	9.69903e-07
-0.0697383	-0.0697383	-0.0697383
-2.43116e-06	-2.43116e-06	-2.43116e-06
0.158005	0.158005	0.158005
-2.34657e-06	-2.34657e-06	-2.34657e-06
-0.18348	-0.18348	-0.18348
